method,url_length,special_path,host,contentLength,arg_length,arg_num,digit_in_arg,letter_in_arg
1,48,8,0,0.0,0,1,0,0
2,52,8,0,73.0,69,5,8,52
1,52,11,0,0.0,0,1,0,0
1,49,8,0,0.0,0,1,0,0
1,48,8,0,0.0,63,5,7,47
1,57,9,0,0.0,0,1,0,0
2,47,8,0,37.0,35,3,4,28
1,44,8,0,0.0,0,1,0,0
1,49,8,0,0.0,0,1,0,0
2,47,8,0,41.0,39,3,6,29
1,49,8,0,0.0,236,13,43,171
2,48,8,0,17.0,17,1,1,14
1,56,8,0,0.0,0,1,0,0
2,50,8,0,262.0,250,13,41,185
1,50,8,0,0.0,0,1,0,0
1,50,8,0,0.0,0,1,0,0
2,47,8,0,43.0,41,3,5,31
1,57,8,0,0.0,20,1,2,15
2,48,8,0,33.0,33,1,0,31
1,47,8,0,0.0,0,1,0,0
1,48,8,0,0.0,0,1,0,0
2,47,8,0,41.0,39,3,6,29
1,48,8,0,0.0,0,1,0,0
2,49,8,0,261.0,249,13,36,190
1,47,8,0,0.0,37,3,5,29
1,47,8,0,0.0,137,3,51,69
1,50,8,0,0.0,0,1,0,0
1,52,9,0,0.0,0,1,0,0
2,48,8,0,89.0,89,1,29,53
2,57,8,0,57.0,57,1,12,30
1,47,8,0,0.0,52,3,12,33
1,57,9,0,0.0,0,1,0,0
2,48,8,0,33.0,33,1,0,31
1,50,8,0,0.0,0,1,0,0
1,48,8,0,0.0,33,1,0,31
2,48,8,0,81.0,81,1,29,32
1,48,8,0,0.0,0,1,0,0
1,50,8,0,0.0,0,1,0,0
2,57,8,0,4.0,4,1,1,2
1,50,8,0,0.0,249,13,41,185
2,57,8,0,24.0,24,1,2,17
1,63,10,0,0.0,0,1,0,0
1,52,8,0,0.0,60,5,1,53
2,52,8,0,122.0,118,5,15,88
1,48,8,0,0.0,71,5,9,51
1,52,8,0,0.0,56,5,2,48
1,48,8,0,0.0,72,5,10,51
2,57,8,0,5.0,5,1,1,3
3,48,8,1,71.0,67,5,7,51
1,47,8,0,0.0,0,1,0,0
1,48,8,0,0.0,33,1,0,31
3,50,8,1,234.0,222,13,37,166
1,48,8,0,0.0,57,5,9,40
2,47,8,0,39.0,37,3,5,29
1,48,8,0,0.0,0,1,0,0
2,48,8,0,18.0,18,1,1,15
1,39,7,0,0.0,0,1,0,0
2,49,8,0,263.0,251,13,51,166
2,52,8,0,52.0,48,5,1,41
1,53,10,0,0.0,0,1,0,0
2,48,8,0,17.0,17,1,1,14
1,44,8,0,0.0,0,1,0,0
1,57,8,0,0.0,4,1,1,2
2,49,8,0,251.0,239,13,40,172
1,50,8,0,0.0,0,1,0,0
1,44,8,0,0.0,0,1,0,0
1,48,8,0,0.0,0,1,0,0
1,31,8,0,0.0,0,1,0,0
1,52,8,0,0.0,56,5,4,47
1,48,8,0,0.0,68,5,7,52
3,57,8,1,4.0,4,1,1,2
1,56,8,0,0.0,0,1,0,0
1,44,8,0,0.0,0,1,0,0
2,47,8,0,38.0,36,3,5,28
1,47,8,0,0.0,0,1,0,0
1,50,8,0,0.0,0,1,0,0
1,48,10,0,0.0,0,1,0,0
1,44,8,0,0.0,0,1,0,0
1,48,8,0,0.0,0,1,0,0
2,50,8,0,241.0,229,13,37,171
1,48,8,0,0.0,64,1,33,24
2,48,8,0,89.0,89,1,27,51
1,48,8,0,0.0,0,1,0,0
1,56,8,0,0.0,0,1,0,0
1,48,8,0,0.0,0,1,0,0
2,49,8,0,258.0,246,13,42,177
1,50,8,0,0.0,224,13,43,158
1,47,8,0,0.0,36,3,5,28
1,47,8,0,0.0,36,3,5,28
1,68,9,0,0.0,0,1,0,0
1,79,13,0,0.0,0,1,0,0
1,50,8,0,0.0,0,1,0,0
1,48,8,0,0.0,71,5,10,50
1,50,8,0,0.0,234,13,41,167
1,47,8,0,0.0,36,3,5,28
1,33,6,0,0.0,0,1,0,0
1,57,8,0,0.0,45,1,15,18
1,48,8,0,0.0,0,1,0,0
1,48,8,0,0.0,33,1,0,31
2,48,8,0,76.0,72,5,10,51
1,47,8,0,0.0,44,3,6,32
1,49,8,0,0.0,232,13,40,170
2,48,8,0,17.0,17,1,1,14
1,44,8,0,0.0,0,1,0,0
2,48,8,0,76.0,72,5,10,51
1,50,8,0,0.0,258,13,46,183
1,50,8,0,0.0,0,1,0,0
1,48,8,0,0.0,17,1,1,14
2,47,8,0,43.0,41,3,5,31
1,58,9,0,0.0,0,1,0,0
1,48,8,0,0.0,19,1,8,6
2,57,8,0,9.0,9,1,4,3
1,50,8,0,0.0,224,13,38,164
1,50,8,0,0.0,0,1,0,0
1,31,8,0,0.0,0,1,0,0
1,47,8,0,0.0,41,3,5,31
1,49,8,0,0.0,238,13,45,169
1,48,8,0,0.0,0,1,0,0
1,49,8,0,0.0,0,1,0,0
2,52,8,0,65.0,61,5,7,47
1,44,8,0,0.0,0,1,0,0
1,48,8,0,0.0,17,1,1,14
1,49,8,0,0.0,249,13,36,187
1,45,6,0,0.0,0,1,0,0
1,48,8,0,0.0,77,1,35,20
1,50,8,0,0.0,0,1,0,0
1,49,8,0,0.0,411,13,72,289
2,52,8,0,62.0,58,5,4,47
1,47,8,0,0.0,0,1,0,0
1,42,6,0,0.0,0,1,0,0
2,48,8,0,67.0,63,5,7,47
1,44,8,0,0.0,0,1,0,0
1,48,8,0,0.0,17,1,1,14
2,48,8,0,81.0,77,5,13,50
1,58,12,0,0.0,0,1,0,0
1,25,5,0,0.0,0,1,0,0
1,48,8,0,0.0,0,1,0,0
1,66,9,0,0.0,0,1,0,0
1,51,8,0,0.0,0,1,0,0
1,66,12,0,0.0,0,1,0,0
2,49,8,0,315.0,303,13,69,204
1,64,11,0,0.0,0,1,0,0
2,47,8,0,43.0,41,3,4,32
1,50,8,0,0.0,0,1,0,0
2,52,8,0,73.0,69,5,6,54
2,49,8,0,251.0,239,13,42,176
2,48,8,0,17.0,17,1,1,14
1,52,8,0,0.0,56,5,1,50
2,49,8,0,248.0,236,13,36,177
1,44,8,0,0.0,0,1,0,0
2,48,8,0,17.0,17,1,1,14
2,50,8,0,284.0,272,13,38,204
1,52,8,0,0.0,130,5,13,95
1,47,8,0,0.0,43,3,5,32
1,48,8,0,0.0,0,1,0,0
1,51,8,0,0.0,0,1,0,0
1,51,8,0,0.0,0,1,0,0
1,48,8,0,0.0,0,1,0,0
1,58,9,0,0.0,0,1,0,0
2,47,8,0,41.0,39,3,6,29
1,50,8,0,0.0,250,13,36,189
1,49,8,0,0.0,246,13,40,180
1,47,8,0,0.0,73,3,20,34
2,48,8,0,33.0,33,1,0,31
2,48,8,0,67.0,63,5,7,47
2,49,8,0,249.0,237,13,46,166
1,48,8,0,0.0,17,1,1,14
1,50,8,0,0.0,217,13,41,153
2,48,8,0,77.0,73,5,10,51
2,57,8,0,5.0,5,1,1,3
2,57,8,0,4.0,4,1,1,2
1,52,8,0,0.0,59,5,3,51
1,49,8,0,0.0,0,1,0,0
1,50,8,0,0.0,219,13,46,151
1,51,8,0,0.0,0,1,0,0
1,25,5,0,0.0,0,1,0,0
2,48,8,0,18.0,18,1,1,15
1,41,7,0,0.0,0,1,0,0
1,47,8,0,0.0,39,3,6,29
1,48,8,0,0.0,0,1,0,0
1,49,8,0,0.0,0,1,0,0
2,52,8,0,66.0,62,5,9,48
1,52,9,0,0.0,0,1,0,0
1,54,9,0,0.0,0,1,0,0
1,49,8,0,0.0,250,13,41,184
1,49,8,0,0.0,0,1,0,0
1,46,8,0,0.0,0,1,0,0
1,51,8,0,0.0,0,1,0,0
1,50,8,0,0.0,277,13,45,202
1,48,8,0,0.0,0,1,0,0
1,48,8,0,0.0,12,1,4,5
1,49,8,0,0.0,262,13,42,193
1,56,8,0,0.0,0,1,0,0
1,58,9,0,0.0,0,1,0,0
1,48,8,0,0.0,17,1,1,14
2,49,8,0,248.0,236,13,39,168
2,50,8,0,254.0,242,13,40,178
1,44,8,0,0.0,0,1,0,0
1,50,8,0,0.0,246,13,40,179
1,39,7,0,0.0,0,1,0,0
2,48,8,0,68.0,64,5,7,48
2,52,8,0,65.0,61,5,4,49
1,48,8,0,0.0,70,5,8,51
1,44,8,0,0.0,0,1,0,0
1,48,8,0,0.0,71,5,10,50
2,48,8,0,69.0,65,5,8,48
1,44,8,0,0.0,0,1,0,0
1,47,8,0,0.0,82,3,27,37
2,52,8,0,61.0,57,5,6,45
1,49,8,0,0.0,0,1,0,0
2,48,8,0,49.0,49,1,16,16
2,48,8,0,75.0,71,5,10,50
2,48,8,0,17.0,17,1,1,14
1,57,9,0,0.0,0,1,0,0
1,48,8,0,0.0,0,1,0,0
1,47,8,0,0.0,44,3,6,32
1,50,8,0,0.0,308,13,75,188
1,57,8,0,0.0,5,1,1,3
1,49,8,0,0.0,0,1,0,0
2,48,8,0,93.0,93,1,40,28
1,48,8,0,0.0,0,1,0,0
1,46,8,0,0.0,0,1,0,0
1,44,8,0,0.0,0,1,0,0
1,57,8,0,0.0,4,1,1,2
1,49,8,0,0.0,0,1,0,0
1,52,8,0,0.0,54,5,1,48
1,50,8,0,0.0,237,13,46,169
1,49,6,0,0.0,0,1,0,0
1,25,5,0,0.0,0,1,0,0
1,48,8,0,0.0,0,1,0,0
1,60,9,0,0.0,0,1,0,0
1,44,8,0,0.0,0,1,0,0
2,48,8,0,33.0,33,1,0,31
1,48,8,0,0.0,42,1,3,35
1,45,6,0,0.0,0,1,0,0
1,57,9,0,0.0,0,1,0,0
1,48,8,0,0.0,0,1,0,0
1,72,11,0,0.0,0,1,0,0
1,47,8,0,0.0,37,3,5,29
1,48,8,0,0.0,17,1,1,14
1,48,8,0,0.0,69,5,8,52
1,49,8,0,0.0,0,1,0,0
1,57,8,0,0.0,5,1,1,3
2,49,8,0,259.0,247,13,39,185
1,48,8,0,0.0,0,1,0,0
1,67,13,0,0.0,0,1,0,0
1,51,8,0,0.0,0,1,0,0
2,48,8,0,106.0,102,5,19,60
1,46,8,0,0.0,0,1,0,0
1,48,8,0,0.0,18,1,1,15
2,49,8,0,290.0,278,13,46,197
2,48,8,0,74.0,70,5,8,52
1,57,9,0,0.0,0,1,0,0
2,57,8,0,4.0,4,1,1,2
1,58,9,0,0.0,0,1,0,0
1,49,8,0,0.0,261,13,37,198
1,50,8,0,0.0,239,13,42,172
1,49,8,0,0.0,245,13,43,175
2,48,8,0,135.0,131,5,41,73
1,50,8,0,0.0,251,13,45,181
1,44,8,0,0.0,0,1,0,0
1,52,8,0,0.0,63,5,4,52
1,48,8,0,0.0,0,1,0,0
1,47,8,0,0.0,38,3,5,29
1,48,8,0,0.0,33,1,0,31
1,57,8,0,0.0,25,1,11,6
2,48,8,0,33.0,33,1,0,31
1,50,8,0,0.0,240,13,37,180
1,48,8,0,0.0,0,1,0,0
1,47,8,0,0.0,41,3,5,31
1,50,8,0,0.0,255,13,40,190
1,36,8,0,0.0,0,1,0,0
1,58,9,0,0.0,0,1,0,0
2,47,8,0,41.0,39,3,6,29
1,52,9,0,0.0,0,1,0,0
2,57,8,0,4.0,4,1,1,2
1,50,8,0,0.0,0,1,0,0
1,48,8,0,0.0,0,1,0,0
2,48,8,0,33.0,33,1,0,31
1,57,9,0,0.0,0,1,0,0
1,40,9,0,0.0,0,1,0,0
1,44,8,0,0.0,0,1,0,0
1,48,8,0,0.0,0,1,0,0
1,50,8,0,0.0,216,13,38,158
1,57,8,0,0.0,8,1,3,3
1,48,8,0,0.0,6,1,2,2
2,49,8,0,251.0,239,13,40,176
1,50,8,0,0.0,251,13,45,181
3,52,8,1,67.0,63,5,7,51
1,50,8,0,0.0,0,1,0,0
1,67,9,0,0.0,0,1,0,0
1,49,8,0,0.0,0,1,0,0
2,52,8,0,77.0,73,5,4,60
1,48,8,0,0.0,63,5,7,47
1,50,8,0,0.0,247,13,41,181
1,78,11,0,0.0,0,1,0,0
1,52,8,0,0.0,54,5,1,48
1,51,8,0,0.0,0,1,0,0
2,47,8,0,38.0,36,3,5,28
1,48,8,0,0.0,0,1,0,0
1,57,8,0,0.0,4,1,1,2
1,48,8,0,0.0,42,1,3,35
1,52,8,0,0.0,58,5,4,46
1,57,9,0,0.0,0,1,0,0
1,61,8,0,0.0,0,1,0,0
2,52,8,0,75.0,71,5,10,52
1,52,8,0,0.0,128,5,36,76
2,47,8,0,114.0,112,3,32,65
2,50,8,0,274.0,262,13,39,194
2,48,8,0,71.0,67,5,7,51
2,48,8,0,33.0,33,1,0,31
1,56,8,0,0.0,0,1,0,0
1,49,8,0,0.0,0,1,0,0
1,49,8,0,0.0,0,1,0,0
1,52,8,0,0.0,56,5,5,46
1,58,9,0,0.0,0,1,0,0
2,50,8,0,288.0,276,13,62,180
1,49,8,0,0.0,243,13,37,182
1,52,8,0,0.0,135,5,40,68
2,52,8,0,57.0,53,5,1,47
1,46,8,0,0.0,0,1,0,0
1,46,8,0,0.0,0,1,0,0
1,57,8,0,0.0,67,1,11,45
1,48,8,0,0.0,0,1,0,0
2,48,8,0,25.0,25,1,12,5
1,50,8,0,0.0,249,13,41,179
1,45,10,0,0.0,0,1,0,0
1,49,8,0,0.0,270,13,47,198
1,50,8,0,0.0,231,13,38,171
1,49,8,0,0.0,246,13,39,181
1,48,8,0,0.0,0,1,0,0
1,56,8,0,0.0,0,1,0,0
1,49,8,0,0.0,261,13,40,194
1,47,8,0,0.0,44,3,6,32
1,46,8,0,0.0,0,1,0,0
1,48,8,0,0.0,0,1,0,0
2,49,8,0,248.0,236,13,45,169
1,49,8,0,0.0,0,1,0,0
1,48,8,0,0.0,34,1,0,32
1,48,8,0,0.0,0,1,0,0
1,46,8,0,0.0,0,1,0,0
1,57,8,0,0.0,4,1,1,2
1,44,8,0,0.0,0,1,0,0
1,48,8,0,0.0,64,5,7,48
1,75,13,0,0.0,0,1,0,0
1,50,8,0,0.0,245,13,39,180
1,58,9,0,0.0,0,1,0,0
1,57,8,0,0.0,4,1,1,2
1,50,8,0,0.0,0,1,0,0
1,44,8,0,0.0,0,1,0,0
1,47,8,0,0.0,0,1,0,0
1,47,8,0,0.0,0,1,0,0
1,48,8,0,0.0,51,1,27,19
2,50,8,0,245.0,233,13,44,166
1,48,8,0,0.0,0,1,0,0
1,50,8,0,0.0,0,1,0,0
1,50,8,0,0.0,0,1,0,0
1,49,8,0,0.0,0,1,0,0
1,47,8,0,0.0,0,1,0,0
1,52,8,0,0.0,63,5,8,50
2,47,8,0,38.0,36,3,5,28
2,50,8,0,279.0,267,13,57,177
1,47,8,0,0.0,0,1,0,0
1,57,8,0,0.0,4,1,1,2
1,52,8,0,0.0,55,5,3,46
1,49,8,0,0.0,231,13,38,168
1,49,8,0,0.0,0,1,0,0
1,48,8,0,0.0,0,1,0,0
2,49,8,0,263.0,251,13,43,176
1,39,7,0,0.0,0,1,0,0
2,48,8,0,74.0,74,1,14,47
2,48,8,0,117.0,117,1,40,51
1,47,8,0,0.0,0,1,0,0
2,57,8,0,4.0,4,1,1,2
2,48,8,0,76.0,72,5,10,51
1,72,12,0,0.0,0,1,0,0
1,52,8,0,0.0,60,5,8,47
2,57,8,0,68.0,68,1,29,20
2,52,8,0,64.0,60,5,4,49
1,50,8,0,0.0,252,13,42,182
1,47,8,0,0.0,0,1,0,0
1,56,8,0,0.0,0,1,0,0
1,50,8,0,0.0,0,1,0,0
1,34,6,0,0.0,0,1,0,0
1,47,8,0,0.0,0,1,0,0
1,47,8,0,0.0,0,1,0,0
1,48,8,0,0.0,0,1,0,0
1,46,8,0,0.0,0,1,0,0
1,44,8,0,0.0,0,1,0,0
1,48,8,0,0.0,0,1,0,0
1,47,8,0,0.0,0,1,0,0
2,57,8,0,114.0,114,1,47,52
2,49,8,0,242.0,230,13,37,173
1,48,8,0,0.0,0,1,0,0
2,48,8,0,18.0,18,1,1,15
1,48,8,0,0.0,33,1,0,31
2,57,8,0,4.0,4,1,1,2
1,58,9,0,0.0,0,1,0,0
2,48,8,0,17.0,17,1,1,14
1,53,7,0,0.0,0,1,0,0
1,70,13,0,0.0,0,1,0,0
2,48,8,0,74.0,70,5,9,50
1,48,8,0,0.0,0,1,0,0
1,49,8,0,0.0,237,13,42,169
1,47,8,0,0.0,41,3,5,31
1,49,8,0,0.0,227,13,40,162
1,44,8,0,0.0,0,1,0,0
2,57,8,0,4.0,4,1,1,2
2,47,8,0,44.0,42,3,5,32
2,57,8,0,5.0,5,1,1,3
1,51,8,0,0.0,0,1,0,0
1,44,8,0,0.0,0,1,0,0
1,50,8,0,0.0,232,13,44,164
3,57,8,1,4.0,4,1,1,2
1,50,8,0,0.0,0,1,0,0
1,34,6,0,0.0,0,1,0,0
1,51,8,0,0.0,0,1,0,0
1,47,8,0,0.0,0,1,0,0
1,57,9,0,0.0,0,1,0,0
1,49,8,0,0.0,0,1,0,0
1,57,8,0,0.0,9,1,4,3
1,48,8,0,0.0,0,1,0,0
1,57,9,0,0.0,0,1,0,0
2,48,8,0,17.0,17,1,1,14
2,48,8,0,71.0,67,5,7,51
1,62,9,0,0.0,0,1,0,0
1,52,8,0,0.0,137,5,29,92
1,49,8,0,0.0,240,13,38,179
1,48,8,0,0.0,0,1,0,0
1,34,6,0,0.0,0,1,0,0
2,57,8,0,5.0,5,1,1,3
2,48,8,0,33.0,33,1,0,31
1,22,5,0,0.0,0,1,0,0
1,49,8,0,0.0,281,13,61,182
1,48,8,0,0.0,0,1,0,0
1,48,8,0,0.0,0,1,0,0
1,44,8,0,0.0,0,1,0,0
1,51,8,0,0.0,0,1,0,0
1,49,8,0,0.0,246,13,37,183
2,52,8,0,62.0,58,5,3,50
2,47,8,0,44.0,42,3,5,32
1,44,8,0,0.0,0,1,0,0
2,48,8,0,76.0,72,5,9,51
1,61,10,0,0.0,0,1,0,0
2,57,8,0,5.0,5,1,1,3
1,49,8,0,0.0,0,1,0,0
1,48,8,0,0.0,0,1,0,0
1,52,8,0,0.0,61,5,8,46
1,52,8,0,0.0,58,5,1,50
3,49,8,1,258.0,246,13,36,181
1,50,8,0,0.0,236,13,41,172
2,48,8,0,18.0,18,1,1,15
1,57,8,0,0.0,4,1,1,2
1,51,8,0,0.0,0,1,0,0
1,48,8,0,0.0,0,1,0,0
1,57,8,0,0.0,84,1,28,45
1,44,8,0,0.0,0,1,0,0
1,48,8,0,0.0,0,1,0,0
2,57,8,0,4.0,4,1,1,2
1,47,8,0,0.0,39,3,3,31
1,58,9,0,0.0,0,1,0,0
1,51,8,0,0.0,0,1,0,0
1,47,8,0,0.0,0,1,0,0
1,49,8,0,0.0,251,13,37,187
2,48,8,0,18.0,18,1,1,15
1,47,8,0,0.0,0,1,0,0
2,48,8,0,75.0,75,1,15,38
1,44,8,0,0.0,0,1,0,0
1,50,8,0,0.0,249,13,40,184
1,48,8,0,0.0,70,5,9,50
1,57,8,0,0.0,4,1,1,2
2,57,8,0,4.0,4,1,1,2
2,52,8,0,123.0,119,5,16,88
1,57,8,0,0.0,0,1,0,0
2,52,8,0,60.0,56,5,5,46
2,48,8,0,75.0,71,5,10,50
2,47,8,0,41.0,39,3,6,29
1,50,8,0,0.0,0,1,0,0
1,47,8,0,0.0,0,1,0,0
1,44,8,0,0.0,0,1,0,0
2,50,8,0,254.0,242,13,44,171
2,49,8,0,270.0,258,13,41,191
2,48,8,0,34.0,34,1,0,32
1,57,9,0,0.0,0,1,0,0
1,46,7,0,0.0,0,1,0,0
1,44,8,0,0.0,0,1,0,0
1,56,8,0,0.0,0,1,0,0
1,48,9,0,0.0,0,1,0,0
2,48,8,0,77.0,73,5,10,51
1,50,8,0,0.0,250,13,41,185
1,51,8,0,0.0,0,1,0,0
1,70,12,0,0.0,0,1,0,0
1,57,8,0,0.0,5,1,1,3
1,48,8,0,0.0,0,1,0,0
1,58,9,0,0.0,0,1,0,0
2,52,8,0,64.0,60,5,7,48
1,68,9,0,0.0,0,1,0,0
1,47,8,0,0.0,37,3,5,29
1,52,8,0,0.0,54,5,1,48
1,48,8,0,0.0,67,5,7,51
1,48,8,0,0.0,0,1,0,0
1,49,8,0,0.0,269,13,54,187
2,50,8,0,250.0,238,13,37,178
1,39,7,0,0.0,0,1,0,0
1,49,8,0,0.0,237,13,44,167
1,57,9,0,0.0,0,1,0,0
1,72,11,0,0.0,0,1,0,0
2,50,8,0,263.0,251,13,41,185
2,49,8,0,236.0,224,13,41,161
2,52,8,0,61.0,57,5,2,49
1,47,8,0,0.0,40,3,4,31
2,47,8,0,41.0,39,3,6,29
2,50,8,0,242.0,230,13,42,163
1,49,8,0,0.0,234,13,34,178
1,46,8,0,0.0,0,1,0,0
1,48,8,0,0.0,0,1,0,0
1,57,9,0,0.0,0,1,0,0
1,53,8,0,0.0,0,1,0,0
1,58,9,0,0.0,0,1,0,0
1,44,8,0,0.0,0,1,0,0
1,54,9,0,0.0,0,1,0,0
1,49,8,0,0.0,0,1,0,0
2,47,8,0,43.0,41,3,5,31
1,49,8,0,0.0,0,1,0,0
1,62,11,0,0.0,0,1,0,0
1,74,11,0,0.0,0,1,0,0
1,52,8,0,0.0,65,5,12,46
1,48,8,0,0.0,0,1,0,0
2,49,8,0,259.0,247,13,42,181
1,49,8,0,0.0,0,1,0,0
1,48,8,0,0.0,71,5,10,50
1,49,8,0,0.0,0,1,0,0
1,50,8,0,0.0,0,1,0,0
2,50,8,0,246.0,234,13,39,169
1,65,12,0,0.0,0,1,0,0
1,48,8,0,0.0,17,1,1,14
2,50,8,0,248.0,236,13,39,176
2,50,8,0,243.0,231,13,37,173
1,48,8,0,0.0,0,1,0,0
1,52,8,0,0.0,101,5,15,71
1,57,8,0,0.0,5,1,1,3
1,48,8,0,0.0,17,1,1,14
1,66,12,0,0.0,0,1,0,0
1,47,8,0,0.0,42,3,5,32
2,48,8,0,18.0,18,1,1,15
2,47,8,0,41.0,39,3,6,29
1,47,8,0,0.0,36,3,4,29
1,80,15,0,0.0,0,1,0,0
2,49,8,0,252.0,240,13,39,175
1,48,8,0,0.0,71,5,9,52
2,57,8,0,25.0,25,1,3,17
2,57,8,0,5.0,5,1,1,3
2,48,8,0,17.0,17,1,1,14
1,49,8,0,0.0,0,1,0,0
2,48,8,0,74.0,70,5,9,50
1,46,8,0,0.0,0,1,0,0
1,48,8,0,0.0,63,5,7,47
1,58,9,0,0.0,0,1,0,0
1,52,8,0,0.0,55,5,4,46
1,50,8,0,0.0,0,1,0,0
2,48,8,0,17.0,17,1,1,14
1,33,6,0,0.0,0,1,0,0
2,50,8,0,308.0,296,13,55,202
1,51,8,0,0.0,0,1,0,0
1,57,8,0,0.0,4,1,1,2
2,47,8,0,46.0,44,3,6,32
1,57,8,0,0.0,4,1,1,2
2,49,8,0,299.0,287,13,64,186
1,47,8,0,0.0,36,3,5,28
1,48,8,0,0.0,68,5,8,51
1,44,8,0,0.0,0,1,0,0
1,49,7,0,0.0,0,1,0,0
2,48,8,0,17.0,17,1,1,14
1,52,8,0,0.0,116,5,31,74
2,48,8,0,33.0,33,1,0,31
1,58,9,0,0.0,0,1,0,0
2,48,8,0,6.0,6,1,2,2
1,48,8,0,0.0,64,5,8,47
2,47,8,0,45.0,43,3,5,32
1,58,9,0,0.0,0,1,0,0
2,49,8,0,256.0,244,13,38,182
1,49,8,0,0.0,252,13,38,188
1,52,8,0,0.0,62,5,6,49
1,48,8,0,0.0,0,1,0,0
1,48,8,0,0.0,129,5,42,71
1,49,8,0,0.0,0,1,0,0
1,48,8,0,0.0,0,1,0,0
1,78,13,0,0.0,0,1,0,0
1,50,8,0,0.0,237,13,43,170
1,47,8,0,0.0,0,1,0,0
2,48,8,0,68.0,64,5,8,47
2,52,8,0,64.0,60,5,2,52
1,49,8,0,0.0,291,13,80,181
1,48,8,0,0.0,0,1,0,0
1,49,8,0,0.0,232,13,44,163
1,57,9,0,0.0,0,1,0,0
1,50,8,0,0.0,217,13,43,154
1,41,8,0,0.0,0,1,0,0
2,47,8,0,38.0,36,3,5,28
2,48,8,0,69.0,69,1,15,42
1,48,8,0,0.0,0,1,0,0
1,49,8,0,0.0,249,13,38,188
1,50,8,0,0.0,0,1,0,0
1,57,9,0,0.0,0,1,0,0
1,48,8,0,0.0,0,1,0,0
1,48,8,0,0.0,71,5,10,50
2,57,8,0,57.0,57,1,12,30
1,47,8,0,0.0,44,3,6,32
2,52,8,0,61.0,57,5,5,47
1,44,8,0,0.0,0,1,0,0
1,48,8,0,0.0,0,1,0,0
2,48,8,0,81.0,81,1,29,32
1,48,8,0,0.0,0,1,0,0
1,44,8,0,0.0,0,1,0,0
1,73,11,0,0.0,88,1,2,73
2,48,8,0,17.0,17,1,1,14
2,50,8,0,263.0,251,13,45,181
1,51,8,0,0.0,0,1,0,0
2,50,8,0,263.0,251,13,37,189
1,50,8,0,0.0,0,1,0,0
1,39,7,0,0.0,0,1,0,0
2,47,8,0,43.0,41,3,8,29
1,51,8,0,0.0,0,1,0,0
1,50,8,0,0.0,244,13,38,181
2,48,8,0,67.0,63,5,7,47
1,52,8,0,0.0,56,5,1,49
1,51,8,0,0.0,0,1,0,0
2,50,8,0,272.0,260,13,38,194
1,46,8,0,0.0,0,1,0,0
1,57,9,0,0.0,0,1,0,0
2,49,8,0,251.0,239,13,39,176
2,48,8,0,17.0,17,1,1,14
1,48,8,0,0.0,0,1,0,0
1,52,8,0,0.0,98,5,19,62
1,49,8,0,0.0,238,13,43,173
